tier,toDelegate,ens_name,proposal_link,proposal_type,proposal_id,proposal_description,rn
Tier 4,0x7899d9b1181cbb427b0b1be0684c096c260f7474,minimalgravitas.eth,"<a href=""https://vote.optimism.io/proposals/85591583404433237270543189567126336043697987369929953414380041066767718361144"" target=""_blank"">To Read More</a>",Single-Choice Proposal,85591583404433237270543189567126336043697987369929953414380041066767718361144,"# Ratify Security Council Members
If approved, the below members, appointed by the Optimism Foundation, will serve an initial term on the Optimism Security Council:

Cohort A (12 month initial term)
Kris Kaczor (Phoenix Labs)
Layne Haber (Connext)
Jon Charbonneau (DBA)
Alisha.eth (Glowworm Foundation, former ENS)
Mariano Conti (Independent, former MakerDAO)
Martin Tellechea (The Graph Foundation)
Yoseph Ayele (Borderless Africa)
Cohort B (18 month initial term)
OP Labs PBC
Yoav Weiss (Ethereum Foundation)
Test in Prod
Kain Warwick (Synthetix)
Coinbase Technologies, Inc. (Base)
Elena Nadolinkski (Ironfish)
L2Beat
Alejandro Santander (Independent, former Synthetix)

A Council Lead will be appointed by the Foundation at a later date. 

This proposal is eligible for Special Voting Cycle #16c
https://gov.optimism.io/t/security-council-vote-2-initial-member-ratification/7118",1
Tier 4,0xc4884736a39c8b0d1d88a23bb2cc15ee0886fec3,6fec3.eth,"<a href=""https://vote.optimism.io/proposals/47864371633107534187617995773541299064963460661119440983190542488743950169122"" target=""_blank"">To Read More</a>",Single-Choice Proposal,47864371633107534187617995773541299064963460661119440983190542488743950169122,"# Grants Council Operating Budget
The Grants Council plays an important role in the Collective and is assumed to persist unless a Council Dissolution Proposal is passed. 

The Token House must vote on a Council Operating Budget, thereby renewing the Council for another Season and electing the proposal author as Council Lead. Delegates are effectively electing the Council Lead that has authored an approved budget. 

The sole proposed Grants Council Operating Budget is proposed by Lund Ventures (Dane Lund) with a proposed operating budget of 440k OP: <https://gov.optimism.io/t/draft-season-5-grants-council-operating-budget/6941>

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/grants-council-operating-budget-template/6891>
",1
Tier 4,0xc4884736a39c8b0d1d88a23bb2cc15ee0886fec3,6fec3.eth,"<a href=""https://vote.optimism.io/proposals/26993004599223263087505603454119723751877285713239446072681254755783718227511"" target=""_blank"">To Read More</a>",Single-Choice Proposal,26993004599223263087505603454119723751877285713239446072681254755783718227511,"# Code of Conduct Council Budget
Season 5 will further decentralize the Foundation's role in processing violations of the Code of Conduct and remove enforcement responsibility from Token House delegates. Accordingly, the Foundation will authorize a Token House Code of Conduct Council, according to the [Council Framework](https://gov.optimism.io/t/council-framework-and-renewal/5884). The Council will be comprised of five members and a Council Lead. The Foundation proposes an initial budget of 3,000 OP per Code of Conduct Council member, for a total of 18,000 OP to be dispersed out of the Governance Fund at the end of Season 5.

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/code-of-conduct-councils/6888>
",1
Tier 4,0x3f11753c51a8acc79b78b729d477948b4b880da1,<nil>,"<a href=""https://vote.optimism.io/proposals/46755965320953291432113738397437466520155684451527981335363452666080752126186"" target=""_blank"">To Read More</a>",Single-Choice Proposal,46755965320953291432113738397437466520155684451527981335363452666080752126186,"# Intent 2 Budget Proposal 2
The Grants Council manages Intent #2: Innovate on Novel Applications. The original Council Intent Budget was approved at the start of Season 4. [https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925](https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925) 

This proposal requests the remaining budgets approved for Intent 1, Intent 3, and Intent 4 be allocated to Intent 2 as a budget increase rather than returned to the Governance Fund for the remainder of the Season. 

This proposal is eligible for voting in Voting Cycle 14 : [https://gov.optimism.io/t/final-intent-2-budget-proposal-2/6559](https://gov.optimism.io/t/final-intent-2-budget-proposal-2/6559)",1
Tier 4,0x2f942dabfbafc54eab9929bb981167a779aadab6,<nil>,"<a href=""https://vote.optimism.io/proposals/10572947036210533292634221606922807092762967787561796032397523909369599512554"" target=""_blank"">To Read More</a>",Single-Choice Proposal,10572947036210533292634221606922807092762967787561796032397523909369599512554,"# Proposal to Reclassify Grant Misusage Enforcement
The Foundation proposes two changes to eliminate delegate responsibility for grant misusage enforcement. This proposal is based on strong feedback from delegates that they do not wish to vote on enforcement actions and instead transfers this responsibility to the elected Token House Code of Conduct Council. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/proposal-to-reclassify-grant-misusage-enforcement/7384>",1
Tier 4,0x2f942dabfbafc54eab9929bb981167a779aadab6,<nil>,<nil>,<nil>,<nil>,<nil>,1
Tier 3,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,pgov.eth,"<a href=""https://vote.optimism.io/proposals/47253113366919812831791422571513347073374828501432502648295761953879525315523"" target=""_blank"">To Read More</a>",Single-Choice Proposal,47253113366919812831791422571513347073374828501432502648295761953879525315523,"# Protocol Upgrade #6: Multi-Chain Prep (MCP) L1
Upgrade proposal: MCP - This protocol upgrade strengthens the security and upgradeability of the Superchain by enabling L1 contracts to be upgraded atomically across multiple chains in a single transaction. This upgrade also extends the SystemConfig to contain the addresses of the contracts in the network, allowing users to discover the system’s contract addresses programmatically.
The upgrade is code complete as of commit [e6ef3a900c42c8722e72c2e2314027f85d12ced5](https://github.com/ethereum-optimism/optimism/commit/e6ef3a900c42c8722e72c2e2314027f85d12ced5) ([release](https://github.com/ethereum-optimism/optimism/releases/tag/op-contracts%2Fv1.3.0-rc.1) and [tag](https://github.com/ethereum-optimism/optimism/tree/op-contracts/v1.3.0-rc.1)) in the Optimism monorepo.

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677>

If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,brichis.eth,"<a href=""https://vote.optimism.io/proposals/110376471005925230990107796624328147348746431603727026291575353089698990280147"" target=""_blank"">To Read More</a>",Single-Choice Proposal,110376471005925230990107796624328147348746431603727026291575353089698990280147,"# Protocol Upgrade #4
This upgrade, proposed by OP Labs, introduces a new L1 contract, the SuperchainConfig, along with improvements to the existing pause mechanism.The proposed upgrade takes the current incident response mechanism a step further, introducing a Superchain-wide pause mechanism that can enhance protection across multiple fronts, including the L1CrossDomainMessenger and withdrawals for ERC-20 and ERC-721 tokens, which are additional security critical code paths that protect user assets.

If this vote passes, the L1 contracts which support the OP Mainnet network will be upgraded to the versions of those contracts in the optimism repo at commit 856c08b (tagged as release candidate op-contracts/v1.2.0-rc.1).


This proposal is eligible for Voting Cycle #18: 
<https://gov.optimism.io/t/upgrade-Request-4/7534>",1
Tier 4,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,brichis.eth,<nil>,<nil>,<nil>,<nil>,1
Tier 4,0x17296956b4e07ff8931e4ff4ea06709fab70b879,curia-delegates.eth,"<a href=""https://vote.optimism.io/proposals/112047914448178129124907599845371359974256142096707624346739203514792263033877"" target=""_blank"">To Read More</a>",Single-Choice Proposal,112047914448178129124907599845371359974256142096707624346739203514792263033877,"# Ratification of Law of Chains
The Law of Chains is an open neutrality framework that establishes certain protections for participants in the Superchain ecosystem. Its purpose is to promote core principles of user protection, decentralization and economic autonomy as foundations for the developing Superchain. The Token House will ratify this foundational governing document.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/ratification-law-of-chains/7049>
",1
Tier 4,0x17296956b4e07ff8931e4ff4ea06709fab70b879,curia-delegates.eth,<nil>,<nil>,<nil>,<nil>,1
Tier 4,0x8e68a6d0c77719be744cb05ffeb0aeff68d3856c,<nil>,"<a href=""https://vote.optimism.io/proposals/10572947036210533292634221606922807092762967787561796032397523909369599512554"" target=""_blank"">To Read More</a>",Single-Choice Proposal,10572947036210533292634221606922807092762967787561796032397523909369599512554,"# Proposal to Reclassify Grant Misusage Enforcement
The Foundation proposes two changes to eliminate delegate responsibility for grant misusage enforcement. This proposal is based on strong feedback from delegates that they do not wish to vote on enforcement actions and instead transfers this responsibility to the elected Token House Code of Conduct Council. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/proposal-to-reclassify-grant-misusage-enforcement/7384>",1
Tier 4,0xa60f492f5d52e0461b55d37ba4ce95c9d5eff62b,altarigames.eth,<nil>,<nil>,<nil>,<nil>,1
Tier 4,0x0b846d075512953b1764b9f78af1e268923de6da,optimisticus.eth,"<a href=""https://vote.optimism.io/proposals/23645858735980247449510302520189443998369792603230659191221949690963680987113"" target=""_blank"">To Read More</a>",Single-Choice Proposal,23645858735980247449510302520189443998369792603230659191221949690963680987113,"# Chain Delegation Program
The Chain Delegation Program would temporarily delegate a portion of idle OP from the Governance Fund to value-aligned OP Chains. If this proposal is approved by the Token House, a total of 10M OP would be reserved for delegation across as many as 10 OP Chains. Delegations will be made throughout Season 5 and 6, as Chains qualify.

This proposal is eligible for Special Voting Cycle #16b: 
<https://gov.optimism.io/t/chain-delegation-program/6896>
",1
